year,gdp_per_capita_constant,gdp_per_capita_current,gdp_deflator,gfkf_percent,gfkf_privat,natural_resources_rents,population_share_largest_city,population_total,fdi_inflow_percent,fdi_inflow_abs,fdi_outflow_percent,fdi_outflow_abs,trade_share,tax_as_perc_of_revenue,tax_of_gdp,mobile_phone_subs,telephone_subs,prim_netenrol,lowsec_netenrol,upsec_netenrol,cc,ge,pv,rl,rq,va,ISO3
1992,828.516034463031,163.197571684381,82.0235795511957,8.36977422841006,4.75012588672845,18.3516089663806,39.882539298139,4166366.0,-0.82346143837,-5599050.4066039,0.0503205562868274,342150.0,64.4928752528777,,,0.0,0.332,,,,,,,,,,SLE
1993,841.770438078312,184.951609154872,26.736321384602,7.74811426056782,5.35868586136635,11.783513864103,40.7523900148765,4157130.0,-0.970637956262181,-7462923.50557742,0.0117055221051522,90000.0,52.8598375891873,,,0.0,0.348,,,,,,,,,,SLE
1994,822.218309819245,218.507275126222,25.0620436308527,8.66377045690347,4.56729650475467,11.3606935001772,41.3992048971962,4173105.0,-0.31520267860552,-2874187.6100227,0.020836673544277,190000.0,55.1600675188324,,,0.0,0.378,,,,,,,,,,SLE
1995,755.343467472038,208.351997250955,33.5979883194802,5.57286605626242,3.65786340266151,15.8876053628025,42.1615346044027,4179179.0,0.83688052325502,7287055.90785857,0.0735006759459061,640000.0,45.029250437578,,,0.0,0.398,,,,,,,,,,SLE
1996,764.924518087367,224.258711163044,29.5804861433025,11.03600434571,7.72032449813277,14.6082170583381,42.7988371406728,4199210.0,0.0705024171323443,663927.905227631,,,49.5955306540939,,,0.0,0.409,,,,-0.6468024,-1.64445929999999,-2.04978079999999,-1.2382042,-1.857937,-0.7449655,SLE
1997,710.743788352538,199.880001395777,2.25276842807767,-2.42435790046364,1.46029486308388,16.2134698202213,43.0907179035677,4253716.0,0.211710507869611,1800032.09430631,,,28.2780240362665,,,0.0,0.409,,,,,,,,,,SLE
1998,716.346032939256,156.51811883387,23.7751233973352,5.31347525555798,4.9282478239406,21.6619843703457,43.5150025664117,4295785.0,0.0155993330333948,104884.95271863,,,35.3326795564082,,,0.0,0.405,,,,-0.6643678,-2.0341809,-2.31473069999999,-1.1025619,-1.97681249999999,-1.0597729,SLE
1999,698.548063578049,155.020833269007,17.1938517219607,0.292869776037837,2.39851817995138,13.3682577279386,44.1426139329663,4318043.0,0.0796552797705397,533201.78805506,0.0149390496346787,100000.0,33.7491637023642,,,0.0,0.422,,,,,,,,,,SLE
2000,727.240914632596,143.743743239644,3.28114075964898,1.09681037230364,5.17653001701856,14.2566872840621,43.928994956204,4423611.0,6.13349349626252,39000824.5205233,,,57.5299628959222,,,0.269915234409174,0.429061235266844,,,,-0.6703916,-2.0321191,-2.1835343,-1.0881172,-1.83647079999999,-1.18413639999999,SLE
2001,642.036645844304,358.315716051546,168.053007464837,10.3479835903356,5.83403233035782,8.05230833851418,42.2021978362461,4692716.0,0.584947649727907,9835742.02237573,,,35.9381586081315,,,0.573122260115464,0.484687332453104,,,26.63818,,,,,,,SLE
2002,766.788693742901,388.995111216836,-3.93416614633094,10.9785927983031,6.01219522019126,8.43552502197745,40.5860363057837,4971435.0,0.538476849671278,10413409.4634409,,,38.9169111968846,,,1.34769940671054,0.482757996433625,,,,-0.8043632,-2.07480839999999,-0.9877052,-1.4871972,-1.3890848,-0.5841054,SLE
2003,806.066489012144,413.817607346927,13.1976856022125,10.8781249783208,5.89327671664557,12.876788824159,39.6869798040149,5177687.0,0.402080514728161,8615049.66773899,,,46.4464363702625,,,2.18657481612929,0.488635176286245,,,,-0.8124904,-2.0814973,-1.0119464,-1.1649922,-1.3890566,-0.479027899999999,SLE
2004,829.759768928304,417.749983329227,12.8264542239995,9.99271197361333,5.36156144281777,11.1023236756794,39.0570880341339,5355717.0,2.73329141184343,61153314.1933297,,,46.1719991766037,,,,0.49479836219875,,,,-0.8325731,-1.389721,-0.407134499999999,-1.0284067,-1.2129633,-0.213039199999999,SLE
2005,842.906030904902,462.633324427945,16.6157670486629,10.9919362832176,6.03946104834709,9.90200209747713,38.7472802509346,5501712.0,3.56470945553037,90731669.7377148,-0.296628029298429,-7550000.0,47.547983989225,,,,0.50529726019828,,,,-1.0388939,-1.33999579999999,-0.432268999999999,-0.960196699999999,-1.1531479,-0.3148369,SLE
2006,859.824260714965,580.26796974773,26.0366752788894,10.3480655166595,5.79491718587551,9.42718135843611,38.654523625597,5624466.0,1.80375615409317,58869143.9072179,0.0030979818630982,101108.755585853,22.0888664739674,,,,0.515604503609765,,,,-1.0120347,-1.1966279,-0.2419056,-0.8718921,-1.1403425,-0.2681743,SLE
2007,872.68836234614,631.889926264998,8.13418926837109,9.95886493587095,5.57696429032139,12.2555158372532,38.5482908481564,5749352.0,2.6278911435046,95470171.3159827,-0.030489236140564,-1107661.02501156,21.8067992689239,,,13.4971732466546,0.527015914141281,,,,-0.956930899999999,-1.140469,-0.1552927,-0.857013799999999,-1.1248515,-0.2574513,SLE
2008,882.54147817868,705.359014080005,10.2448853478003,10.1742952422536,5.69760543246098,11.6115795671527,38.3129285585025,5894722.0,1.27696981909264,53095068.0674311,-0.108917263927015,-4528665.79574478,21.2566155636984,,,17.113614518208,0.534376345483298,,,,-0.890809299999999,-1.1735954,-0.278660099999999,-0.8640352,-1.1102816,-0.2080869,SLE
2009,872.23959352481,652.845806767943,6.34199132186974,11.0063444019559,6.16355256624973,12.2691742280754,37.9881300180506,6055646.0,2.79329478350427,110430202.517695,-0.0105048724081795,-415299.951264897,23.0753395976546,,,19.1556771977754,0.541643286281926,,,,-0.7565101,-1.1859345,-0.274347599999999,-0.8375956,-0.9901454,-0.2436421,SLE
2010,902.769891411394,685.039673490948,19.1231180041057,34.2329697821293,19.1704631959322,10.5288662404631,37.6459359593107,6222714.0,5.59265918271249,238404209.34276,-0.0007805075518317,-33271.5224907116,27.9541259241389,,,32.1403169099528,0.22498221836967,,,,-0.6318848,-1.1431255,-0.237476,-0.8366323,-0.9567519,-0.1624999,SLE
2011,950.760763054593,761.146365577281,15.3425577502667,46.3315709602933,25.9456799836966,10.9869587677677,37.3395978579367,6387251.0,19.5505875068329,950477791.380297,,,43.7807969332619,,,33.4572729332228,0.250499001839759,,,20.51483,-0.6666656,-1.1333977,-0.2639912,-0.783612,-0.939481199999999,-0.1979562,SLE
2012,1025.04366004502,937.504428180231,14.1095695912718,29.2017427211432,16.3529758788621,9.77051963302454,37.0588064649012,6551080.0,11.7630516727995,722447405.067387,,,53.3813447139398,,,33.7348956202641,0.274763855730658,94.57197,,21.68596,-0.7690941,-1.1025719,-0.2587444,-0.741593,-0.947721599999999,-0.277773999999999,SLE
